"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
"주정차단속-011",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 52, (도화동)",서울특별시 마포구 도화동 36,37.54033826,126.9476629,고려아카데미텔 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-012",서울특별시,마포구,구도,,도화길,3,"서울특별시 마포구 도화길 35, (도화동)",서울특별시 마포구 도화동 179-1,37.54127822,126.9496017,도화공영주차장 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-013",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 86, (도화동)",서울특별시 마포구 도화동 22,37.54264509,126.9505799,서울대장학빌딩 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-014",서울특별시,마포구,구도,,토정로37길,3,"서울특별시 마포구 토정로37길 38, (도화동)",서울특별시 마포구 도화동 51-3,37.54205556,126.946636,한국전력공사 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-015",서울특별시,마포구,구도,,새창로,3,"서울특별시 마포구 새창로 28, (도화동)",서울특별시 마포구 도화동 4-39,37.54167008,126.9529443,공덕역 10번 출구 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-016",서울특별시,마포구,구도,,독막로22길,3,"서울특별시 마포구 독막로22길 3-7, (창전동)",서울특별시 마포구 창전동 197,37.54707578,126.9297377,해모로아파트 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-017",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 63-8, (도화동)",서울특별시 마포구 도화동 173,37.54225534,126.9478214,삼창프라자 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-018",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 45, (도화동)",서울특별시 마포구 도화동 50-1,37.54047641,126.9463753,일진빌딩 주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-019",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 328, (도화동)",서울특별시 마포구 도화동 532,37.54261364,126.9486006,대한통운 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-020",서울특별시,마포구,구도,,마포대로,3,"서울특별시 마포구 마포대로 33, (도화동, 한화오벨리스크)",서울특별시 마포구 도화동 555,37.53998479,126.9454475,한화오벨리스크 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-021",서울특별시,마포구,구도,,큰우물로,3,"서울특별시 마포구 큰우물로 66, (용강동)",서울특별시 마포구 용강동 19-5,37.54146706,126.945309,도화소어린이공원 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-022",서울특별시,마포구,구도,,큰우물로,3,서울특별시 마포구 큰우물로 48,서울특별시 마포구 큰우물로 48,37.54314131,126.9431015,용강지구대 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-023",서울특별시,마포구,구도,,대흥로,3,"서울특별시 마포구 대흥로20길 28, (대흥동)",서울특별시 마포구 대흥동 30-3,37.54990609,126.9455993,마포아트센터 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-024",서울특별시,마포구,구도,,대흥로,3,"서울특별시 마포구 대흥로 53, (대흥동)",서울특별시 마포구 대흥동 337-62,37.54552409,126.9395259,롯데슈퍼 삼거리,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-025",서울특별시,마포구,구도,,백범로1길,3,"서울특별시 마포구 백범로1길 53, (노고산동)",서울특별시 마포구 노고산동 40-12,37.55550179,126.9395658,창천중학교 후문 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-026",서울특별시,마포구,구도,,백범로,3,"서울특별시 마포구 백범로 170, (공덕동, 공덕더샵아파트)",서울특별시 마포구 공덕동 478,37.54429551,126.9492639,공덕파크자이 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-027",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 291, (염리동)",서울특별시 마포구 염리동 161-7,37.54473946,126.9454893,삼부골든타워 주변,4,0,,,,2011,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-028",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 301, (염리동)",서울특별시 마포구 염리동 164-5,37.54427975,126.9464803,참앤참 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-029",서울특별시,마포구,구도,,토정로,3,"서울특별시 마포구 토정로 221, (신수동)",서울특별시 마포구 신수동 288-9,37.5449934,126.9356179,한국출판콘텐츠센터 주변,4,0,,,,2012,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-030",서울특별시,마포구,구도,,광성로,3,"서울특별시 마포구 광성로 28, (신수동, 벽산솔렌스힐)",서울특별시 마포구 신수동 457,37.54933276,126.9362127,벽산E솔렌스힐 상가 주변,4,0,,,,2011,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-031",서울특별시,마포구,구도,,서강대길,3,"서울특별시 마포구 서강대길 3, (신수동)",서울특별시 마포구 신수동 1-3,37.54946903,126.9393456,하이마트 주변,4,0,,,,2015,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-032",서울특별시,마포구,구도,,창전로,3,"서울특별시 마포구 창전로 88, (신수동)",서울특별시 마포구 신수동 99-2,37.55023441,126.9332801,하나님의 교회 주변,4,0,,,,2011,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-033",서울특별시,마포구,구도,,백범로,3,"서울특별시 마포구 백범로 38, (신수동)",서울특별시 마포구 신수동 81-46,37.5512276,126.9375099,서강대정문 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-034",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 234, (신수동)",서울특별시 마포구 신수동 43,37.54652392,126.9394891,마포세무서 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-035",서울특별시,마포구,구도,,와우산로30길,3,"서울특별시 마포구 와우산로30길 36, (창전동)",서울특별시 마포구 창전동 6-32,37.55326687,126.9298417,와우공원 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-036",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 121, (서교동)",서울특별시 마포구 서교동 338-8,37.55350925,126.9267598,삼진제약 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-037",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 143, (서교동)",서울특별시 마포구 서교동 337-8,37.55424989,126.9289448,한국영화아카데미 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-038",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 82, (서교동)",서울특별시 마포구 서교동 361-23,37.55175149,126.9237067,서교동 커피스미스 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-039",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 72, (서교동)",서울특별시 마포구 서교동 361-10,37.55087471,126.9234024,삼거리포차 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-040",서울특별시,마포구,구도,,홍익로,3,"서울특별시 마포구 홍익로 13, (서교동)",서울특별시 마포구 서교동 358-11,37.55361166,126.9231594,서교푸르지오 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-041",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 48, (상수동)",서울특별시 마포구 상수동 93-45,37.54855934,126.9234357,로하스타워 주변,4,0,,,,2015,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-042",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 97, (서교동)",서울특별시 마포구 서교동 344-12,37.55307292,126.9243554,홍익대 정문 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-043",서울특별시,마포구,구도,,잔다리로,3,"서울특별시 마포구 잔다리로 24, (서교동)",서울특별시 마포구 서교동 367-9,37.55095682,126.9205493,수노래연습장 주변,4,0,,,,2013,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-044",서울특별시,마포구,구도,,양화로18안길,3,"서울특별시 마포구 양화로18안길 21, (동교동)",서울특별시 마포구 동교동 168-1,37.55701339,126.9256684,윗잔다리 어린이공원 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-045",서울특별시,마포구,구도,,와우산로35길,3,"서울특별시 마포구 와우산로35길 53, (서교동)",서울특별시 마포구 서교동 330-1,37.55644823,126.9279288,애경타운 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-046",서울특별시,마포구,구도,,잔다리로,3,"서울특별시 마포구 잔다리로 71, (서교동)",서울특별시 마포구 서교동 466-19,37.55389689,126.9165512,한국고려인삼 주변,4,0,,,,2013,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-047",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 31, (서교동)",서울특별시 마포구 서교동 447-1,37.55713913,126.9187059,아만티호텔 주변,4,0,,,,2012,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-048",서울특별시,마포구,구도,,양화로7길,3,"서울특별시 마포구 양화로7길 3, (서교동)",서울특별시 마포구 서교동 393-1,37.55098891,126.9151958,합정역2번출구 주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-049",서울특별시,마포구,구도,,양화로7길,3,"서울특별시 마포구 양화로7길 24, (서교동)",서울특별시 마포구 서교동 386-11,37.55185907,126.9147758,메세나폴리스뒤편,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-050",서울특별시,마포구,구도,,동교로,3,"서울특별시 마포구 동교로 126, (서교동, 광남벨라스1차아파트)",서울특별시 마포구 서교동 465-1,37.55472858,126.9162169,서교가든 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-051",서울특별시,마포구,구도,,양화로,3,"서울특별시 마포구 양화로 19, (합정동)",서울특별시 마포구 합정동 471,37.54914155,126.9112503,홀트아동복지회 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-052",서울특별시,마포구,구도,,희우정로,3,"서울특별시 마포구 희우정로 14, (합정동)",서울특별시 마포구 합정동 396-7,37.54882589,126.9092631,한국프라우드아파트 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-053",서울특별시,마포구,구도,,월드컵로1길,3,"서울특별시 마포구 월드컵로1길 14, (합정동, 마포한강푸르지오1차)",서울특별시 마포구 합정동 472,37.55005008,126.9120633,마포한강푸르지오1차 주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-054",서울특별시,마포구,구도,,월드컵로1길,3,"서울특별시 마포구 월드컵로1길 11, (합정동)",서울특별시 마포구 합정동 383-31,37.54946656,126.9123023,마포한강푸르지오1차 뒤편,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-055",서울특별시,마포구,구도,,동교로,3,"서울특별시 마포구 동교로 24, (합정동)",서울특별시 마포구 합정동 441-1,37.55204181,126.9052779,망원정 사거리,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-056",서울특별시,마포구,구도,,양화로,3,"서울특별시 마포구 양화로 45, (서교동, 메세나폴리스)",서울특별시 마포구 서교동 490,37.55150012,126.9139548,메세나폴리스 주변,4,0,,,,2015,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-057",서울특별시,마포구,구도,,독막로20나길,3,"서울특별시 마포구 독막로20나길 22, (상수동, 래미안밤섬리베뉴1단지)",서울특별시 마포구 상수동 402,37.54605874,126.9248975,밤섬래미안리베뉴 주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-058",서울특별시,마포구,구도,,와우산로,3,"서울특별시 마포구 와우산로 40, (상수동)",서울특별시 마포구 상수동 309-9,37.54797158,126.9232065,상수역 사거리,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-059",서울특별시,마포구,구도,,서강로9길,3,"서울특별시 마포구 서강로9길 36, (창전동)",서울특별시 마포구 창전동 3-81,37.55389567,126.9316209,태영아파트 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-060",서울특별시,마포구,구도,,동교로,3,"서울특별시 마포구 동교로 198, (동교동)",서울특별시 마포구 동교동 158-25,37.55765608,126.923022,대양빌딩 주변,4,0,,,,2013,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-061",서울특별시,마포구,구도,,연희로,3,"서울특별시 마포구 연희로 21, (동교동)",서울특별시 마포구 동교동 113-88,37.56080073,126.926497,동광빌딩 주변,4,0,,,,2014,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-062",서울특별시,마포구,구도,,양화로,3,"서울특별시 마포구 양화로 133, (서교동)",서울특별시 마포구 서교동 353-1,37.55523173,126.9209857,홍대입구사거리,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-063",서울특별시,마포구,구도,,월드컵로,3,"서울특별시 마포구 월드컵로 74, (서교동)",서울특별시 마포구 서교동 475-13,37.55577736,126.9107238,망원역 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-064",서울특별시,마포구,구도,,토정로,3,"서울특별시 마포구 토정로 56, (합정동)",서울특별시 마포구 합정동 55-1,37.54394746,126.9196431,(구)당인리발전소 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-065",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 13, (합정동)",서울특별시 마포구 합정동 413-5,37.54881624,126.9150688,성지빌딩 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-066",서울특별시,마포구,구도,,망원로,3,"서울특별시 마포구 망원로 87, (망원동)",서울특별시 마포구 망원동 483-2,37.5579448,126.9063801,진평925 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-067",서울특별시,마포구,구도,,망원로,3,"서울특별시 마포구 망원로 29, (망원동)",서울특별시 마포구 망원동 419-16,37.55650834,126.9001422,망원교회 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-068",서울특별시,마포구,구도,,포은로,3,"서울특별시 마포구 포은로 117, (망원동)",서울특별시 마포구 망원동 422-27,37.55740288,126.9042941,반도빌딩사거리,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-069",서울특별시,마포구,구도,,연남로,3,"서울특별시 마포구 연남로 10, (연남동)",서울특별시 마포구 연남동 373-9,37.56072292,126.9233854,연남파출소 주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-070",서울특별시,마포구,구도,,연남로,3,"서울특별시 마포구 연남로 92, (연남동)",서울특별시 마포구 연남동 361-3,37.56700214,126.9180655,한양삼계탕 주변,4,0,,,,2014,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-071",서울특별시,마포구,구도,,연남로,3,"서울특별시 마포구 연남로 80, 나동 (연남동, 쌍마빌라)",서울특별시 마포구 연남동 361-9,37.56617037,126.919017,쌍마빌라 나동 주변,4,0,,,,2014,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-072",서울특별시,마포구,구도,,연남로,3,"서울특별시 마포구 연남로 30, (연남동, 코오롱하늘채아파트)",서울특별시 마포구 연남동 573,37.56270935,126.9218627,코오롱아파트 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-073",서울특별시,마포구,구도,,동교로,3,"서울특별시 마포구 동교로 235-1, (연남동)",서울특별시 마포구 연남동 259-5,37.56105384,126.924105,연남동 세븐일레븐 주변,4,0,,,,2004,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-074",서울특별시,마포구,구도,,성미산로,3,"서울특별시 마포구 성미산로 111, (연남동)",서울특별시 마포구 연남동 369-1,37.5635137,126.9191685,경성중고 주변,4,0,,,,2004,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-075",서울특별시,마포구,구도,,성미산로,3,"서울특별시 마포구 성미산로 92, (성산동)",서울특별시 마포구 성산동 226-7,37.5609962,126.91779,현일오피스텔주변,4,0,,,,2004,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-076",서울특별시,마포구,구도,,성미산로,3,"서울특별시 마포구 성미산로 38, (성산동)",서울특별시 마포구 성산동 640-2,37.55863057,126.9123461,성서교회 주변,4,0,,,,2008,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-077",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 99, (성산동)",서울특별시 마포구 성산동 41-2,37.56218896,126.91423,성미산약수터 주변,4,0,,,,2015,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-078",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 136, (성산동)",서울특별시 마포구 성산동 51-11,37.56502906,126.9124683,신안건설산업 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-079",서울특별시,마포구,구도,,월드컵로32길,3,"서울특별시 마포구 월드컵로32길 19, (성산동)",서울특별시 마포구 성산동 278-40,37.56266664,126.9054509,보양산업 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-080",서울특별시,마포구,구도,,월드컵로,3,"서울특별시 마포구 월드컵로 196, (성산동)",서울특별시 마포구 성산동 591-4,37.56479507,126.9027484,마포구청1번출구 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-081",서울특별시,마포구,구도,,모래내로,3,"서울특별시 마포구 모래내로 5, (성산동)",서울특별시 마포구 성산동 592-5,37.56425412,126.9036845,우남퍼스트빌 주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-082",서울특별시,마포구,구도,,모래내로,3,"서울특별시 마포구 모래내로3길 2, (성산동)",서울특별시 마포구 성산동 597,37.56464583,126.905726,동성아파트 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-083",서울특별시,마포구,구도,,월드컵로,3,"서울특별시 마포구 월드컵로 212, (성산동)",서울특별시 마포구 성산동 370,37.56637938,126.9016159,마포구청 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-084",서울특별시,마포구,구도,,모래내로9길,3,"서울특별시 마포구 모래내로9길 30, (중동)",서울특별시 마포구 중동 393,37.56845144,126.9113206,건영월드컵APT주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-085",서울특별시,마포구,구도,,월드컵로36길,3,"서울특별시 마포구 월드컵로36길 34, (성산동)",서울특별시 마포구 성산동 175-1,37.56697919,126.9050822,성원초등학교 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-086",서울특별시,마포구,구도,,월드컵북로38길,3,"서울특별시 마포구 월드컵북로38길 26, (중동)",서울특별시 마포구 중동 42,37.57110852,126.9053615,신북초등학교 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-087",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 230, (중동)",서울특별시 마포구 중동 64-25,37.57013929,126.9038361,신북초교 현대상가 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-088",서울특별시,마포구,구도,,매봉산로,3,"서울특별시 마포구 매봉산로 76, (상암동)",서울특별시 마포구 상암동 1614,37.57828166,126.8938447,상암파출소 주변,4,0,,,,2018,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-089",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 400, (상암동)",서울특별시 마포구 상암동 1602,37.58045216,126.8898954,MBC후문 주변,4,0,,,,2017,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-090",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 400, (상암동)",서울특별시 마포구 상암동 1602,37.58045216,126.8898954,JTBC방송국 주변,4,0,,,,2015,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-091",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 396, (상암동)",서울특별시 마포구 상암동 1605,37.57949646,126.8903226,디지털미디어시티사거리,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-092",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 416, (상암동)",서울특별시 마포구 상암동 1600,37.58052192,126.8877319,LG유플러스 상암사옥 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-093",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 434, (상암동)",서울특별시 마포구 상암동 1590,37.58162338,126.8860512,상암IT타워 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-094",서울특별시,마포구,구도,,월드컵북로54길,3,"서울특별시 마포구 월드컵북로54길 17, (상암동)",서울특별시 마포구 상암동 1597,37.5813225,126.8885465,사보이시티 주변,4,0,,,,2005,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-095",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 502, (상암동)",서울특별시 마포구 상암동 1740,37.58504298,126.879875,하늘초등학교 주변,4,0,,,,2007,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-096",서울특별시,마포구,구도,,월드컵로42길,3,"서울특별시 마포구 월드컵로42길 13, (상암동)",서울특별시 마포구 상암동 339-6,37.5787536,126.8808069,서부면허시험장 주변,4,0,,,,2010,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-097",서울특별시,마포구,구도,,월드컵북로,3,"서울특별시 마포구 월드컵북로 332, (상암동)",서울특별시 마포구 상암동 34-35,37.57587749,126.8949784,서동한우 주변,4,0,,,,2016,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-098",서울특별시,마포구,구도,,대흥로20길,3,"서울특별시 마포구 대흥로20길 28, (대흥동)",서울특별시 마포구 대흥동 30-3,37.54990609,126.9455993,마포자이A3차주변,4,0,,,,2019,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-099",서울특별시,마포구,구도,,백범로17길,3,"서울특별시 마포구 백범로17길 38, (염리동)",서울특별시 마포구 염리동 81-62,37.54878677,126.9446628,용강초등학교 후문 주변,4,0,,,,2019,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-100",서울특별시,마포구,구도,,양화로18길,3,"서울특별시 마포구 양화로18길 3, (동교동)",서울특별시 마포구 동교동 166-13,37.55703043,126.9245703,홍대입구역 8번출구 주변,4,0,,,,2019,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-101",서울특별시,마포구,구도,,독막로,3,"서울특별시 마포구 독막로 210, (신수동)",서울특별시 마포구 신수동 181-2,37.54714081,126.9369454,성원아파트 주변,4,0,,,,2019,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-102",서울특별시,마포구,구도,,마포대로11길,3,"서울특별시 마포구 마포대로11길 84, (공덕동, 마포현대)",서울특별시 마포구 공덕동 188-108,37.55137157,126.950602,마포현대아파트 상가 주변,4,0,,,,2019,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-103",서울특별시,마포구,구도,,대흥로,3,"서울특별시 마포구 대흥로 104, (대흥동)",서울특별시 마포구 대흥동 50-10,37.54893509,126.9431103,세헌오피스텔 주변,4,0,,,,2020,서울특별시 마포구,02-3153-9655,2023-07-12
"주정차단속-104",서울특별시,마포구,구도,,신촌로,3,"서울특별시 마포구 신촌로 182, (대흥동)",서울특별시 마포구 대흥동 12-1,37.55645456,126.945664,신촌그랑자이 주변,4,0,,,,2020,서울특별시 마포구,02-3153-9655,2023-07-12
